,coachID,year,tmID,lgID,stint,winRateConf,winRatePost
0,adamsmi01w,5,19,WNBA,0,0.0,0.0
1,adubari99w,1,11,WNBA,0,0.0,0.0
2,adubari99w,2,11,WNBA,0,0.0,0.0
3,adubari99w,3,11,WNBA,0,0.640625,0.5384615384615384
4,adubari99w,4,11,WNBA,0,0.609375,0.5
5,adubari99w,5,11,WNBA,1,0.5151515151515151,0.5
6,adubari99w,6,19,WNBA,0,0.46,0.0
7,adubari99w,7,19,WNBA,0,0.46,0.0
8,adubari99w,8,19,WNBA,1,0.5,0.0
9,aglerbr99w,1,10,WNBA,0,0.0,0.0
10,aglerbr99w,2,10,WNBA,0,0.0,0.0
11,aglerbr99w,3,10,WNBA,1,0.421875,0.0
12,aglerbr99w,9,17,WNBA,0,0.35294117647058826,0.0
13,aglerbr99w,10,17,WNBA,0,0.5283018867924528,0.3333333333333333
14,allenso99w,1,15,WNBA,0,0.0,0.0
15,allenso99w,2,15,WNBA,1,0.0,0.0
16,bibbyhe01w,6,8,WNBA,1,0.0,0.0
17,boguemu01w,6,1,WNBA,2,0.0,0.0
18,boguemu01w,7,1,WNBA,0,0.0,0.0
19,bouceje01w,8,15,WNBA,0,0.0,0.0
20,bouceje01w,9,15,WNBA,0,0.0,0.0
21,bouceje01w,10,15,WNBA,1,0.5441176470588235,0.3333333333333333
22,brownde01w,3,12,WNBA,0,0.0,0.0
23,brownde01w,5,16,WNBA,2,0.0,0.0
24,bryanjo01w,6,8,WNBA,2,0.0,0.0
25,bryanjo01w,7,8,WNBA,0,0.0,0.0
26,chancva99w,1,6,WNBA,0,0.0,0.0
27,chancva99w,2,6,WNBA,0,0.0,0.0
28,chancva99w,3,6,WNBA,0,0.71875,0.75
29,chancva99w,4,6,WNBA,0,0.671875,0.2
30,chancva99w,5,6,WNBA,0,0.6666666666666666,0.3333333333333333
31,chancva99w,6,6,WNBA,0,0.4852941176470588,0.3333333333333333
32,chancva99w,7,6,WNBA,0,0.47058823529411764,0.4
33,coopecy01w,2,13,WNBA,0,0.0,0.0
34,coopecy01w,3,13,WNBA,1,0.0,0.0
35,coopemi01w,1,8,WNBA,0,0.0,0.0
36,coopemi01w,2,8,WNBA,0,0.0,0.0
37,coopemi01w,3,8,WNBA,0,0.875,0.7272727272727273
38,coopemi01w,4,8,WNBA,0,0.828125,0.9230769230769231
39,coopemi01w,5,8,WNBA,1,0.7424242424242424,0.7333333333333333
40,coopemi01w,8,8,WNBA,0,0.7037037037037037,0.5555555555555556
41,coopemi01w,9,8,WNBA,0,0.4444444444444444,0.0
42,coopemi01w,10,8,WNBA,0,0.4411764705882353,0.5
43,cowenda01w,7,2,WNBA,0,0.0,0.0
44,coylepa99w,5,11,WNBA,2,0.0,0.0
45,coylepa99w,6,11,WNBA,0,0.0,0.0
46,coylepa99w,7,11,WNBA,0,0.5576923076923077,0.2857142857142857
47,coylepa99w,8,11,WNBA,0,0.4264705882352941,0.0
48,coylepa99w,9,11,WNBA,0,0.39705882352941174,0.3333333333333333
49,coylepa99w,10,11,WNBA,1,0.5147058823529411,0.4444444444444444
50,dailesh99w,4,16,WNBA,2,0.0,0.0
51,dailesh99w,5,16,WNBA,1,0.0,0.0
52,darscna99w,1,19,WNBA,1,0.0,0.0
53,donovan99w,1,7,WNBA,0,0.0,0.0
54,donovan99w,2,1,WNBA,0,0.0,0.0
55,donovan99w,3,1,WNBA,0,0.421875,0.5
56,donovan99w,4,17,WNBA,0,0.5625,0.4
57,donovan99w,5,17,WNBA,0,0.5454545454545454,0.0
58,donovan99w,6,17,WNBA,0,0.5588235294117647,0.75
59,donovan99w,7,17,WNBA,0,0.5882352941176471,0.6363636363636364
60,donovan99w,8,17,WNBA,0,0.5588235294117647,0.3333333333333333
61,donovan99w,10,11,WNBA,2,0.5147058823529411,0.2
62,dunnli99wc,1,17,WNBA,0,0.0,0.0
63,dunnli99wc,2,17,WNBA,0,0.0,0.0
64,dunnli99wc,3,17,WNBA,0,0.25,0.0
65,dunnli99wc,9,7,WNBA,0,0.421875,0.0
66,dunnli99wc,10,7,WNBA,0,0.5151515151515151,0.2
67,dunntr01wc,1,1,WNBA,0,0.0,0.0
68,fortnne99w,2,7,WNBA,0,0.0,0.0
69,fortnne99w,3,7,WNBA,0,0.0,0.0
70,fortnne99w,4,7,WNBA,0,0.40625,0.3333333333333333
71,gaineco01w,9,13,WNBA,0,0.0,0.0
72,gaineco01w,10,13,WNBA,0,0.0,0.0
73,gilloje01w,10,10,WNBA,0,0.0,0.0
74,grafca99wc,5,13,WNBA,0,0.0,0.0
75,grafca99wc,6,13,WNBA,0,0.0,0.0
76,hargrli99w,1,14,WNBA,0,0.0,0.0
77,hargrli99w,2,14,WNBA,0,0.0,0.0
78,hargrli99w,3,14,WNBA,0,0.328125,0.0
79,harveca99w,2,18,WNBA,2,0.0,0.0
80,harveca99w,3,18,WNBA,0,0.0,0.0
81,harveca99w,4,16,WNBA,1,0.6666666666666666,0.2857142857142857
82,hugheda99w,1,3,WNBA,0,0.0,0.0
83,hugheda99w,2,3,WNBA,0,0.0,0.0
84,hugheda99w,3,3,WNBA,0,0.609375,0.4444444444444444
85,hugheda99w,4,3,WNBA,0,0.5,0.3333333333333333
86,hugheda99w,6,16,WNBA,0,0.4090909090909091,0.3333333333333333
87,hugheda99w,7,16,WNBA,0,0.35294117647058826,0.3333333333333333
88,hugheda99w,8,16,WNBA,0,0.29411764705882354,0.0
89,hugheda99w,9,16,WNBA,0,0.4852941176470588,0.4
90,hugheda99w,10,16,WNBA,0,0.6470588235294118,0.42857142857142855
91,jenkica99w,7,10,WNBA,2,0.0,0.0
92,kenlaje99w,9,19,WNBA,2,0.0,0.0
93,keyst99wc,9,2,WNBA,0,0.0,0.0
94,keyst99wc,10,2,WNBA,0,0.0,0.0
95,laceytr99w,4,1,WNBA,0,0.0,0.0
96,laceytr99w,5,1,WNBA,0,0.0,0.0
97,laceytr99w,6,1,WNBA,1,0.5,0.0
98,laimbbi01w,3,5,WNBA,2,0.0,0.0
99,laimbbi01w,4,5,WNBA,0,0.0,0.0
100,laimbbi01w,5,5,WNBA,0,0.6071428571428571,0.75
101,laimbbi01w,6,5,WNBA,0,0.6176470588235294,0.6363636363636364
102,laimbbi01w,7,5,WNBA,0,0.4852941176470588,0.2
103,laimbbi01w,8,5,WNBA,0,0.5735294117647058,0.5833333333333334
104,laimbbi01w,9,5,WNBA,0,0.6911764705882353,0.6190476190476191
105,laimbbi01w,10,5,WNBA,1,0.6764705882352942,0.65
106,liebena01w,1,5,WNBA,0,0.0,0.0
107,maherto99w,2,19,WNBA,0,0.0,0.0
108,mahorri01w,10,5,WNBA,2,0.0,0.0
109,mcconsu01w,4,10,WNBA,0,0.0,0.0
110,mcconsu01w,5,10,WNBA,0,0.0,0.0
111,mcconsu01w,6,10,WNBA,0,0.5294117647058824,0.2
112,mcconsu01w,7,10,WNBA,1,0.47058823529411764,0.0
113,mchugma99w,2,15,WNBA,2,0.0,0.0
114,mchugma99w,3,15,WNBA,0,0.0,0.0
115,mchugma99w,4,15,WNBA,1,0.5384615384615384,0.6
116,meadoma99w,9,0,WNBA,0,0.0,0.0
117,meadoma99w,10,0,WNBA,0,0.0,0.0
118,millech99w,1,13,WNBA,0,0.0,0.0
119,overtbo99w,8,2,WNBA,0,0.0,0.0
120,peckca99wc,1,12,WNBA,0,0.0,0.0
121,peckca99wc,2,12,WNBA,0,0.0,0.0
122,plankju99w,10,19,WNBA,0,0.0,0.0
123,rollitr01w,8,19,WNBA,2,0.0,0.0
124,rollitr01w,9,19,WNBA,1,0.0,0.0
125,rothsro99w,1,9,WNBA,0,0.0,0.0
126,rothsro99w,2,9,WNBA,0,0.0,0.0
127,rothsro99w,3,9,WNBA,0,0.515625,0.3333333333333333
128,sharpli99w,3,13,WNBA,2,0.0,0.0
129,shumajo01w,4,13,WNBA,0,0.0,0.0
130,stanlma99w,3,19,WNBA,0,0.0,0.0
131,stanlma99w,4,19,WNBA,0,0.0,0.0
132,thibami99w,4,4,WNBA,0,0.0,0.0
133,thibami99w,5,4,WNBA,0,0.0,0.0
134,thibami99w,6,4,WNBA,0,0.5294117647058824,0.5833333333333334
135,thibami99w,7,4,WNBA,0,0.6470588235294118,0.625
136,thibami99w,8,4,WNBA,0,0.7647058823529411,0.6153846153846154
137,thibami99w,9,4,WNBA,0,0.6470588235294118,0.5
138,thibami99w,10,4,WNBA,0,0.5735294117647058,0.3333333333333333
139,thompka99w,5,8,WNBA,2,0.0,0.0
140,thompka99w,8,6,WNBA,0,0.0,0.0
141,thompka99w,9,6,WNBA,0,0.5,0.3333333333333333
142,vandehe99w,3,10,WNBA,2,0.0,0.0
143,walkeda01w,1,19,WNBA,2,0.0,0.0
144,weisery99w,5,8,WNBA,2,0.0,0.0
145,westhpa99w,7,13,WNBA,0,0.0,0.0
146,westhpa99w,8,13,WNBA,0,0.0,0.0
147,whisejo99w,4,15,WNBA,2,0.0,0.0
148,whisejo99w,5,15,WNBA,0,0.0,0.0
149,whisejo99w,6,15,WNBA,0,0.6,0.5
150,whisejo99w,7,15,WNBA,0,0.6323529411764706,0.7142857142857143
151,whisejo99w,10,15,WNBA,2,0.6764705882352942,0.7647058823529411
152,willifr99w,1,18,WNBA,0,0.0,0.0
153,willifr99w,2,18,WNBA,1,0.0,0.0
154,willigr99w,2,5,WNBA,0,0.0,0.0
155,willigr99w,3,5,WNBA,1,0.0,0.0
156,wintebr01w,5,7,WNBA,0,0.0,0.0
157,wintebr01w,6,7,WNBA,0,0.0,0.0
158,wintebr01w,7,7,WNBA,0,0.5294117647058824,0.5
159,wintebr01w,8,7,WNBA,0,0.6176470588235294,0.3333333333333333
160,zierddo99w,8,10,WNBA,0,0.0,0.0
161,zierddo99w,9,10,WNBA,0,0.0,0.0
