playerID,award,year,lgID,normalized_award
thompti01w,All-Star Game Most Valuable Player,1,WNBA,all-star game most valuable player
leslili01w,All-Star Game Most Valuable Player,2,WNBA,all-star game most valuable player
leslili01w,All-Star Game Most Valuable Player,3,WNBA,all-star game most valuable player
teaslni01w,All-Star Game Most Valuable Player,4,WNBA,all-star game most valuable player
swoopsh01w,All-Star Game Most Valuable Player,6,WNBA,all-star game most valuable player
douglka01w,All-Star Game Most Valuable Player,7,WNBA,all-star game most valuable player
fordch01w,All-Star Game Most Valuable Player,8,WNBA,all-star game most valuable player
cashsw01w,All-Star Game Most Valuable Player,10,WNBA,all-star game most valuable player
coopemi01w,Coach of the Year,1,WNBA,coach of the year
hugheda99w,Coach of the Year,2,WNBA,coach of the year
stanlma99w,Coach of the Year,3,WNBA,coach of the year
laimbbi01w,Coach of the Year,4,WNBA,coach of the year
mcconsu01w,Coach of the Year,5,WNBA,coach of the year
whisejo99w,Coach of the Year,6,WNBA,coach of the year
thibami99w,Coach of the Year,7,WNBA,coach of the year
hugheda99w,Coach of the Year,8,WNBA,coach of the year
thibami99w,Coach of the Year,9,WNBA,coach of the year
meadoma99w,Coach of the Year,10,WNBA,coach of the year
swoopsh01w,Defensive Player of the Year,1,WNBA,defensive player of the year
blackde01w,Defensive Player of the Year,2,WNBA,defensive player of the year
swoopsh01w,Defensive Player of the Year,3,WNBA,defensive player of the year
swoopsh01w,Defensive Player of the Year,4,WNBA,defensive player of the year
leslili01w,Defensive Player of the Year,5,WNBA,defensive player of the year
catchta01w,Defensive Player of the Year,6,WNBA,defensive player of the year
catchta01w,Defensive Player of the Year,7,WNBA,defensive player of the year
jacksla01w,Defensive Player of the Year,8,WNBA,defensive player of the year
leslili01w,Defensive Player of the Year,9,WNBA,defensive player of the year
catchta01w,Defensive Player of the Year,10,WNBA,defensive player of the year
lawsoka01w,Kim Perrot Sportsmanship,10,WNBA,kim perrot sportsmanship award
mcconsu01w,Kim Perrot Sportsmanship Award,1,WNBA,kim perrot sportsmanship award
wickssu01w,Kim Perrot Sportsmanship Award,2,WNBA,kim perrot sportsmanship award
gilloje01w,Kim Perrot Sportsmanship Award,3,WNBA,kim perrot sportsmanship award
campbed01w,Kim Perrot Sportsmanship Award,4,WNBA,kim perrot sportsmanship award
edwarte01w,Kim Perrot Sportsmanship Award,5,WNBA,kim perrot sportsmanship award
mcwilta01w,Kim Perrot Sportsmanship Award,6,WNBA,kim perrot sportsmanship award
staleda01w,Kim Perrot Sportsmanship Award,7,WNBA,kim perrot sportsmanship award
beviltu01w,Kim Perrot Sportsmanship Award,8,WNBA,kim perrot sportsmanship award
johnsvi01w,Kim Perrot Sportsmanship Award,9,WNBA,kim perrot sportsmanship award
phillta01w,Most Improved Player,1,WNBA,most improved player
arcaija01w,Most Improved Player,2,WNBA,most improved player
milleco01w,Most Improved Player,3,WNBA,most improved player
snowmi01w,Most Improved Player,4,WNBA,most improved player
milleke01w,Most Improved Player,5,WNBA,most improved player
palmewe01w,Most Improved Player,5,WNBA,most improved player
mccarja01w,Most Improved Player,8,WNBA,most improved player
hoffmeb01w,Most Improved Player,9,WNBA,most improved player
langhcr01w,Most Improved Player,10,WNBA,most improved player
swoopsh01w,Most Valuable Player,1,WNBA,most valuable player
leslili01w,Most Valuable Player,2,WNBA,most valuable player
swoopsh01w,Most Valuable Player,3,WNBA,most valuable player
jacksla01w,Most Valuable Player,4,WNBA,most valuable player
leslili01w,Most Valuable Player,5,WNBA,most valuable player
swoopsh01w,Most Valuable Player,6,WNBA,most valuable player
leslili01w,Most Valuable Player,7,WNBA,most valuable player
jacksla01w,Most Valuable Player,8,WNBA,most valuable player
parkeca01w,Most Valuable Player,9,WNBA,most valuable player
tauradi01w,Most Valuable Player,10,WNBA,most valuable player
lennobe01w,Rookie of the Year,1,WNBA,rookie of the year
stileja01w,Rookie of the Year,2,WNBA,rookie of the year
catchta01w,Rookie of the Year,3,WNBA,rookie of the year
fordch01w,Rookie of the Year,4,WNBA,rookie of the year
tauradi01w,Rookie of the Year,5,WNBA,rookie of the year
johnste01w,Rookie of the Year,6,WNBA,rookie of the year
augusse01w,Rookie of the Year,7,WNBA,rookie of the year
pricear01w,Rookie of the Year,8,WNBA,rookie of the year
parkeca01w,Rookie of the Year,9,WNBA,rookie of the year
mccouan01w,Rookie of the Year,10,WNBA,rookie of the year
pierspl01w,Sixth Woman of the Year,8,WNBA,sixth woman of the year
wiggica01w,Sixth Woman of the Year,9,WNBA,sixth woman of the year
bonnede01w,Sixth Woman of the Year,10,WNBA,sixth woman of the year
coopecy01w,WNBA Finals Most Valuable Player,1,WNBA,wnba finals most valuable player
leslili01w,WNBA Finals Most Valuable Player,2,WNBA,wnba finals most valuable player
leslili01w,WNBA Finals Most Valuable Player,3,WNBA,wnba finals most valuable player
rileyru01w,WNBA Finals Most Valuable Player,4,WNBA,wnba finals most valuable player
lennobe01w,WNBA Finals Most Valuable Player,5,WNBA,wnba finals most valuable player
griffyo01w,WNBA Finals Most Valuable Player,6,WNBA,wnba finals most valuable player
nolande01w,WNBA Finals Most Valuable Player,7,WNBA,wnba finals most valuable player
pondeca01w,WNBA Finals Most Valuable Player,8,WNBA,wnba finals most valuable player
smithka01w,WNBA Finals Most Valuable Player,9,WNBA,wnba finals most valuable player
tauradi01w,WNBA Finals Most Valuable Player,10,WNBA,wnba finals most valuable player
birdsu01w,WNBA All-Decade Team,7,WNBA,wnba all-decade team
catchta01w,WNBA All-Decade Team,7,WNBA,wnba all-decade team
coopecy01w,WNBA All-Decade Team,7,WNBA,wnba all-decade team
griffyo01w,WNBA All-Decade Team,7,WNBA,wnba all-decade team
jacksla01w,WNBA All-Decade Team,7,WNBA,wnba all-decade team
leslili01w,WNBA All-Decade Team,7,WNBA,wnba all-decade team
smithka01w,WNBA All-Decade Team,7,WNBA,wnba all-decade team
staleda01w,WNBA All-Decade Team,7,WNBA,wnba all-decade team
swoopsh01w,WNBA All-Decade Team,7,WNBA,wnba all-decade team
thompti01w,WNBA All-Decade Team,7,WNBA,wnba all-decade team
boltoru01w,WNBA All Decade Team Honorable Mention,7,WNBA,wnba all decade team honorable mention
holdsch01w,WNBA All Decade Team Honorable Mention,7,WNBA,wnba all decade team honorable mention
penicti01w,WNBA All Decade Team Honorable Mention,7,WNBA,wnba all decade team honorable mention
tauradi01w,WNBA All Decade Team Honorable Mention,7,WNBA,wnba all decade team honorable mention
weathte01w,WNBA All Decade Team Honorable Mention,7,WNBA,wnba all decade team honorable mention
